"","condition","condition_subtype","group","IC50"
"2008","BD56-182",NA,"E2.2",NA
"2009","BD56-1820",NA,"A",NA
"2010","BD56-1821",NA,"D1",NA
"2011","BD56-1822",NA,"F1",NA
"2012","BD56-1823",NA,"F2",NA
"2013","BD56-1824",NA,"E2.1",NA
"2014","BD56-1825",NA,"D2",NA
"2015","BD56-1826",NA,"E2.1",NA
"2016","BD56-1827",NA,"D1",NA
"2017","BD56-1828",NA,"E2.1",NA
"2018","BD56-1829",NA,"B",NA
"2019","BD56-183",NA,"E3",NA
"2020","BD56-1831",NA,"E2.2",NA
"2021","BD56-1832",NA,"E2.2",NA
"2022","BD56-1833",NA,"B",NA
"2023","BD56-1834",NA,"E2.2",NA
"2024","BD56-1835",NA,"F2",NA
"2025","BD56-1837",NA,"E2.1",NA
"2026","BD56-1838",NA,"A",NA
"2027","BD56-1839",NA,"D1",NA
"2028","BD56-184",NA,"E3",NA
"2029","BD56-1840",NA,"A",NA
"2030","BD56-1841",NA,"F1",NA
"2031","BD56-1842",NA,"D1",NA
"2032","BD56-1843",NA,"D1",NA
"2033","BD56-1844",NA,"F2",NA
"2034","BD56-1845",NA,"F1",NA
"2035","BD56-1847",NA,"A",NA
"2036","BD56-1848",NA,"F2",NA
"2037","BD56-1849",NA,"E2.1",NA
"2038","BD56-185",NA,"E3",NA
"2039","BD56-1850",NA,"C",NA
"2040","BD56-1851",NA,"A",NA
"2041","BD56-1852",NA,"C",NA
"2042","BD56-1853",NA,"C",NA
"2043","BD56-1854",NA,"A",NA
"2044","BD56-1855",NA,"F2",NA
"2045","BD56-1856",NA,"B",NA
"2046","BD56-1857",NA,"D2",NA
"2047","BD56-1859",NA,"D1",NA
"2048","BD56-186",NA,"E2.2",NA
"2049","BD56-1860",NA,"E2.1",NA
"2050","BD56-1861",NA,"B",NA
"2051","BD56-1862",NA,"D1",NA
"2052","BD56-1863",NA,"A",NA
"2053","BD56-1864",NA,"F1",NA
"2054","BD56-1865",NA,"E2.1",NA
"2055","BD56-1866",NA,"D1",NA
"2056","BD56-1867",NA,"F2",NA
"2057","BD56-1868",NA,"F2",NA
"2058","BD56-1869",NA,"C",NA
"2059","BD56-187",NA,"B",NA
"2060","BD56-1870",NA,"F1",NA
"2061","BD56-1872",NA,"B",NA
"2062","BD56-1873",NA,"D1",NA
"2063","BD56-1876",NA,"C",NA
"2064","BD56-1877",NA,"B",NA
"2065","BD56-1878",NA,"E2.2",NA
"2066","BD56-1879",NA,"D1",NA
"2067","BD56-188",NA,"E3",NA
"2068","BD56-1880",NA,"A",NA
"2069","BD56-1881",NA,"C",NA
"2070","BD56-1883",NA,"C",NA
"2071","BD56-1885",NA,"D2",NA
"2072","BD56-1886",NA,"D1",NA
"2073","BD56-1887",NA,"C",NA
"2074","BD56-1888",NA,"D1",NA
"2075","BD56-1889",NA,"B",NA
"2076","BD56-189",NA,"E2.2",NA
"2077","BD56-1890",NA,"D1",NA
"2078","BD56-1891",NA,"D1",NA
"2079","BD56-1892",NA,"D1",NA
"2080","BD56-1893",NA,"B",NA
"2081","BD56-1894",NA,"D2",NA
"2082","BD56-1895",NA,"D2",NA
"2083","BD56-1896",NA,"B",NA
"2084","BD56-1897",NA,"F2",NA
"2085","BD56-1898",NA,"F2",NA
"2086","BD56-1899",NA,"D2",NA
"2087","BD56-190",NA,"E2.2",NA
"2088","BD56-1900",NA,"C",NA
"2089","BD56-1902",NA,"F3",NA
"2090","BD56-1903",NA,"C",NA
"2091","BD56-1904",NA,"B",NA
"2092","BD56-1905",NA,"D1",NA
"2093","BD56-1907",NA,"C",NA
"2094","BD56-1908",NA,"D1",NA
"2095","BD56-1909",NA,"C",NA
"2096","BD56-191",NA,"E3",NA
"2097","BD56-1910",NA,"D2",NA
"2098","BD56-1911",NA,"D1",NA
"2099","BD56-1912",NA,"D1",NA
"2100","BD56-1915",NA,"C",NA
"2101","BD56-1916",NA,"A",NA
"2102","BD56-1918",NA,"F1",NA
"2103","BD56-1919",NA,"F3",NA
"2104","BD56-1921",NA,"A",NA
"2105","BD56-1922",NA,"D2",NA
"2106","BD56-1923",NA,"D1",NA
"2107","BD56-1924",NA,"B",NA
"2108","BD56-1925",NA,"A",NA
"2109","BD56-1926",NA,"A",NA
"2110","BD56-1927",NA,"C",NA
"2111","BD56-1928",NA,"A",NA
"2112","BD56-1929",NA,"F2",NA
"2113","BD56-193",NA,"E3",NA
"2114","BD56-1930",NA,"C",NA
"2115","BD56-1931",NA,"F2",NA
"2116","BD56-1932",NA,"A",NA
"2117","BD56-1934",NA,"C",NA
"2118","BD56-1935",NA,"D1",NA
"2119","BD56-1937",NA,"A",NA
"2120","BD56-194",NA,"E3",NA
"2121","BD56-1941",NA,"E2.2",NA
"2122","BD56-1944",NA,"B",NA
"2123","BD56-1945",NA,"C",NA
"2124","BD56-1949",NA,"C",NA
"2125","BD56-195",NA,"E3",NA
"2126","BD56-1950",NA,"F2",NA
"2127","BD56-196",NA,"E2.2",NA
"2128","BD56-197",NA,"E2.2",NA
"2129","BD56-198",NA,"E3",NA
"2130","BD56-199",NA,"E3",NA
"2131","BD56-200",NA,"E2.2",NA
"2132","BD56-201",NA,"E3",NA
"2133","BD56-202",NA,"E2.2",NA
"2134","BD56-203",NA,"E2.2",NA
"2135","BD56-204",NA,"E3",NA
"2136","BD56-205",NA,"E2.2",NA
"2137","BD56-208",NA,"E3",NA
"2138","BD56-209",NA,"E2.2",NA
"2139","BD56-210",NA,"E3",NA
"2140","BD56-211",NA,"E2.2",NA
"2141","BD56-212",NA,"E3",NA
"2142","BD56-213",NA,"E3",NA
"2143","BD56-215",NA,"E2.2",NA
"2144","BD56-216",NA,"E2.2",NA
"2145","BD56-217",NA,"E2.2",NA
"2146","BD56-218",NA,"E2.2",NA
"2147","BD56-219",NA,"E2.2",NA
"2148","BD56-220",NA,"E3",NA
"2149","BD56-221",NA,"E3",NA
"2150","BD56-222",NA,"E3",NA
"2151","BD56-223",NA,"E3",NA
"2152","BD56-224",NA,"E3",NA
"2153","BD56-229",NA,"A",NA
"2154","BD56-232",NA,"A",NA
"2155","BD56-233",NA,"C",NA
"2156","BD56-234",NA,"A",NA
"2157","BD56-235","class 1",NA,NA
"2158","BD56-236","class 3",NA,NA
"2159","BD56-260",NA,"E3",NA
"2160","BD56-261",NA,"E2.2",NA
"2161","BD56-263",NA,"E3",NA
"2162","BD56-264",NA,"E3",NA
"2163","BD56-265",NA,"B",NA
"2164","BD56-266","class 4",NA,NA
"2165","BD56-267","class 4",NA,NA
"2166","BD56-268","class 3",NA,NA
"2167","BD56-269","class 1",NA,NA
"2168","BD56-272","class 3",NA,NA
"2169","BD56-273","class 4",NA,NA
"2170","BD56-274","class 1",NA,NA
"2171","BD56-275","class 4",NA,NA
"2172","BD56-276","class 1",NA,NA
"2173","BD56-277","class 1",NA,NA
"2174","BD56-280","class 3",NA,NA
"2175","BD56-281","class 3",NA,NA
"2176","BD56-282","class 3",NA,NA
"2177","BD56-284","class 4",NA,NA
"2178","BD56-285","class 1",NA,NA
"2179","BD56-286","class 3",NA,NA
"2180","BD56-290","class 4",NA,NA
"2181","BD56-291","class 1",NA,NA
"2182","BD56-292","class 1",NA,NA
"2183","BD56-296","class 4",NA,NA
"2184","BD56-300",NA,"A",NA
"2185","BD56-301","class 1",NA,NA
"2186","BD56-302","class 1",NA,NA
"2187","BD56-308","class 1",NA,NA
"2188","BD56-309","class 3",NA,NA
"2189","BD56-310","class 4",NA,NA
"2190","BD56-313","class 1",NA,NA
"2191","BD56-322",NA,"E2.2",NA
"2192","BD56-323","class 3",NA,NA
"2193","BD56-326",NA,"E3",NA
"2194","BD56-327",NA,"D2",NA
"2195","BD56-330",NA,"E3",NA
"2196","BD56-331",NA,"E3",NA
"2197","BD56-332",NA,"E3",NA
"2198","BD56-333",NA,"E3",NA
"2199","BD56-336","class 4",NA,NA
"2200","BD56-340","class 4",NA,NA
"2201","BD56-343","class 1",NA,NA
"2202","BD56-344","class 1",NA,NA
"2203","BD56-345","class 3",NA,NA
"2204","BD56-351","class 3",NA,NA
"2205","BD56-353","class 1",NA,NA
"2206","BD56-395",NA,"F1",NA
"2207","BD56-400",NA,"A",NA
"2208","BD56-408",NA,"B",NA
"2209","BD56-410",NA,"E2.2",NA
"2210","BD56-411",NA,"A",NA
"2211","BD56-412",NA,"A",NA
"2212","BD56-413",NA,"A",NA
"2213","BD56-414",NA,"A",NA
"2214","BD56-416",NA,"B",NA
"2215","BD56-418",NA,"B",NA
"2216","BD56-419",NA,"D2",NA
"2217","BD56-420",NA,"E2.2",NA
"2218","BD56-423",NA,"A",NA
"2219","BD56-424",NA,"B",NA
"2220","BD56-425",NA,"A",NA
"2221","BD56-426",NA,"B",NA
"2222","BD56-427",NA,"E1",NA
"2223","BD56-428",NA,"B",NA
"2224","BD56-430",NA,"D1",NA
"2225","BD56-431",NA,"B",NA
"2226","BD56-432",NA,"C",NA
"2227","BD56-433",NA,"C",NA
"2228","BD56-436",NA,"D1",NA
"2229","BD56-437",NA,"D1",NA
"2230","BD56-438",NA,"D1",NA
"2231","BD56-439",NA,"A",NA
"2232","BD56-441",NA,"B",NA
"2233","BD56-442",NA,"E2.1",NA
"2234","BD56-443",NA,"D1",NA
"2235","BD56-444",NA,"E2.1",NA
"2236","BD56-445",NA,"D1",NA
"2237","BD56-446",NA,"A",NA
"2238","BD56-447",NA,"B",NA
"2239","BD56-451",NA,"E2.1",NA
"2240","BD56-454",NA,"D1",NA
"2241","BD56-455",NA,"E2.1",NA
"2242","BD56-456",NA,"D1",NA
"2243","BD56-457",NA,"B",NA
"2244","BD56-458",NA,"D2",NA
"2245","BD56-460",NA,"A",NA
"2246","BD56-461",NA,"E2.1",NA
"2247","BD56-464",NA,"D1",NA
"2248","BD56-466",NA,"F2",NA
"2249","BD56-467",NA,"D1",NA
"2250","BD56-468",NA,"D1",NA
"2251","BD56-469",NA,"F2",NA
"2252","BD56-470",NA,"B",NA
"2253","BD56-471",NA,"B",NA
"2254","BD56-472",NA,"B",NA
"2255","BD56-474",NA,"B",NA
"2256","BD56-475",NA,"E2.1",NA
"2257","BD56-476",NA,"E2.1",NA
"2258","BD56-477",NA,"C",NA
"2259","BD56-479",NA,"B",NA
"2260","BD56-480",NA,"C",NA
"2261","BD56-481",NA,"B",NA
"2262","BD56-482",NA,"D1",NA
"2263","BD56-483",NA,"B",NA
"2264","BD56-484",NA,"E2.1",NA
"2265","BD56-486",NA,"E2.1",NA
"2266","BD56-487",NA,"E2.1",NA
"2267","BD56-488",NA,"E2.1",NA
"2268","BD56-489",NA,"B",NA
"2269","BD56-490",NA,"D2",NA
"2270","BD56-491",NA,"D1",NA
"2271","BD56-493",NA,"C",NA
"2272","BD56-494",NA,"F1",NA
"2273","BD56-495",NA,"E1",NA
"2274","BD56-496",NA,"F1",NA
"2275","BD56-497",NA,"A",NA
"2276","BD56-499",NA,"B",NA
"2277","BD56-500",NA,"D1",NA
"2278","BD56-501",NA,"F1",NA
"2279","BD56-502",NA,"E2.1",NA
"2280","BD56-503",NA,"F1",NA
"2281","BD56-504",NA,"E2.1",NA
"2282","BD56-505",NA,"D1",NA
"2283","BD56-506",NA,"B",NA
"2284","BD56-507",NA,"D1",NA
"2285","BD56-508",NA,"B",NA
"2286","BD56-509",NA,"D2",NA
"2287","BD56-510",NA,"B",NA
"2288","BD56-511",NA,"F1",NA
"2289","BD56-514",NA,"E2.2",NA
"2290","BD56-515",NA,"E3",NA
"2291","BD56-516",NA,"C",NA
"2292","BD56-518",NA,"C",NA
"2293","BD56-519",NA,"B",NA
"2294","BD56-520",NA,"C",NA
"2295","BD56-522",NA,"F1",NA
"2296","BD56-523",NA,"F1",NA
"2297","BD56-524",NA,"D2",NA
"2298","BD56-525",NA,"D1",NA
"2299","BD56-526",NA,"F1",NA
"2300","BD56-529",NA,"F1",NA
"2301","BD56-530",NA,"F1",NA
"2302","BD56-531",NA,"E1",NA
"2303","BD56-532",NA,"B",NA
"2304","BD56-533",NA,"F1",NA
"2305","BD56-534",NA,"D1",NA
"2306","BD56-535",NA,"D2",NA
"2307","BD56-536",NA,"E2.2",NA
"2308","BD56-537",NA,"E2.1",NA
"2309","BD56-538",NA,"E1",NA
"2310","BD56-539",NA,"E2.2",NA
"2311","BD56-540",NA,"F1",NA
"2312","BD56-541",NA,"D1",NA
"2313","BD56-542",NA,"E2.2",NA
"2314","BD56-543",NA,"F1",NA
"2315","BD56-544",NA,"F1",NA
"2316","BD56-545",NA,"E2.2",NA
"2317","BD56-546",NA,"E2.2",NA
"2318","BD56-547",NA,"F1",NA
"2319","BD56-548",NA,"F1",NA
"2320","BD56-549",NA,"F1",NA
"2321","BD56-551",NA,"E2.1",NA
"2322","BD56-552",NA,"E2.1",NA
"2323","BD56-553",NA,"F1",NA
"2324","BD56-554",NA,"D2",NA
"2325","BD56-555",NA,"F1",NA
"2326","BD56-556",NA,"B",NA
"2327","BD56-557",NA,"F1",NA
"2328","BD56-558",NA,"D1",NA
"2329","BD56-559",NA,"F1",NA
"2330","BD56-560",NA,"E2.1",NA
"2331","BD56-561",NA,"E2.1",NA
"2332","BD56-563",NA,"F1",NA
"2333","BD56-564",NA,"B",NA
"2334","BD56-565",NA,"F1",NA
"2335","BD56-566",NA,"D1",NA
"2336","BD56-567",NA,"F1",NA
"2337","BD56-568",NA,"F1",NA
"2338","BD56-569",NA,"F1",NA
"2339","BD56-571",NA,"F1",NA
"2340","BD56-572",NA,"E2.1",NA
"2341","BD56-573",NA,"F1",NA
"2342","BD56-574",NA,"E2.1",NA
"2343","BD56-576",NA,"F1",NA
"2344","BD56-577",NA,"E2.2",NA
"2345","BD56-579",NA,"D2",NA
"2346","BD56-580",NA,"F1",NA
"2347","BD56-581",NA,"E2.1",NA
"2348","BD56-583",NA,"F1",NA
"2349","BD56-585",NA,"D2",NA
"2350","BD56-586",NA,"F1",NA
"2351","BD56-587",NA,"E2.1",NA
"2352","BD56-588",NA,"F1",NA
"2353","BD56-589",NA,"B",NA
"2354","BD56-590",NA,"F1",NA
"2355","BD56-591",NA,"F1",NA
"2356","BD56-592",NA,"E2.2",NA
"2357","BD56-593",NA,"B",NA
"2358","BD56-594",NA,"F1",NA
"2359","BD56-595",NA,"D2",NA
"2360","BD56-596",NA,"E2.1",NA
"2361","BD56-597",NA,"E2.2",NA
"2362","BD56-598",NA,"F1",NA
"2363","BD56-599",NA,"F1",NA
"2364","BD56-600",NA,"F1",NA
"2365","BD56-601",NA,"F1",NA
"2366","BD56-602",NA,"F1",NA
"2367","BD56-603",NA,"F3",NA
"2368","BD56-604",NA,"F1",NA
"2369","BD56-605",NA,"D1",NA
"2370","BD56-606",NA,"B",NA
"2371","BD56-607",NA,"F1",NA
"2372","BD56-608",NA,"D1",NA
"2373","BD56-609",NA,"F1",NA
"2374","BD56-610",NA,"E2.2",NA
"2375","BD56-612",NA,"E2.2",NA
"2376","BD56-614",NA,"F1",NA
"2377","BD56-615",NA,"E1",NA
"2378","BD56-616",NA,"C",NA
"2379","BD56-618",NA,"E2.2",NA
"2380","BD56-619",NA,"A",NA
"2381","BD56-620",NA,"F1",NA
"2382","BD56-621",NA,"A",NA
"2383","BD56-622",NA,"E2.2",NA
"2384","BD56-623",NA,"E2.1",NA
"2385","BD56-624",NA,"E2.2",NA
"2386","BD56-625",NA,"E2.2",NA
"2387","BD56-626",NA,"E2.1",NA
"2388","BD56-627",NA,"F1",NA
"2389","BD56-628",NA,"E3",NA
"2390","BD56-629",NA,"F1",NA
"2391","BD56-631",NA,"D1",NA
"2392","BD56-632",NA,"E2.1",NA
"2393","BD56-633",NA,"E2.2",NA
"2394","BD56-634",NA,"C",NA
"2395","BD56-636",NA,"E3",NA
"2396","BD56-637",NA,"F1",NA
"2397","BD56-638",NA,"E2.1",NA
"2398","BD56-639",NA,"F1",NA
"2399","BD56-640",NA,"E2.2",NA
"2400","BD56-642",NA,"E2.2",NA
"2401","BD56-643",NA,"F1",NA
"2402","BD56-644",NA,"E2.2",NA
"2403","BD56-646",NA,"E1",NA
"2404","BD56-647",NA,"E2.1",NA
"2405","BD56-648",NA,"F1",NA
"2406","BD56-649",NA,"E2.1",NA
"2407","BD56-650",NA,"E2.2",NA
"2408","BD56-651",NA,"E2.1",NA
"2409","BD56-652",NA,"F1",NA
"2410","BD56-653",NA,"E2.2",NA
"2411","BD56-654",NA,"E3",NA
"2412","BD56-656",NA,"E2.2",NA
"2413","BD56-657",NA,"B",NA
"2414","BD56-658",NA,"E2.2",NA
"2415","BD56-660",NA,"D2",NA
"2416","BD56-661",NA,"E2.2",NA
"2417","BD56-663",NA,"E2.2",NA
"2418","BD56-664",NA,"E2.2",NA
"2419","BD56-665",NA,"E2.2",NA
"2420","BD56-666",NA,"E2.2",NA
"2421","BD56-668",NA,"F1",NA
"2422","BD56-669",NA,"E2.2",NA
"2423","BD56-670",NA,"E2.2",NA
"2424","BD56-671",NA,"D1",NA
"2425","BD56-674",NA,"E2.2",NA
"2426","BD56-676",NA,"E3",NA
"2427","BD56-677",NA,"E2.2",NA
"2428","BD56-678",NA,"E2.2",NA
"2429","BD56-679",NA,"E2.2",NA
"2430","BD56-681",NA,"E2.2",NA
"2431","BD56-682",NA,"E2.1",NA
"2432","BD56-683",NA,"E2.2",NA
"2433","BD56-684",NA,"E2.2",NA
"2434","BD56-685",NA,"E2.2",NA
"2435","BD56-686",NA,"E3",NA
"2436","BD56-687",NA,"E3",NA
"2437","BD56-688",NA,"E3",NA
"2438","BD56-690",NA,"E3",NA
"2439","BD56-691",NA,"E2.2",NA
"2440","BD56-692",NA,"E2.2",NA
"2441","BD56-693",NA,"E2.2",NA
"2442","BD56-694",NA,"E2.2",NA
"2443","BD56-695",NA,"E2.2",NA
"2444","BD56-697",NA,"E3",NA
"2445","BD56-698",NA,"E2.2",NA
"2446","BD56-700",NA,"E2.2",NA
"2447","BD56-701",NA,"E3",NA
"2448","BD56-702",NA,"E3",NA
"2449","BD56-703",NA,"E2.2",NA
"2450","BD56-705",NA,"E3",NA
"2451","BD56-707",NA,"E2.2",NA
"2452","BD56-708",NA,"E2.2",NA
"2453","BD56-709",NA,"E2.2",NA
"2454","BD56-711",NA,"E3",NA
"2455","BD56-712",NA,"E2.2",NA
"2456","BD56-713",NA,"E2.2",NA
"2457","BD56-714",NA,"E2.2",NA
"2458","BD56-715",NA,"E3",NA
"2459","BD56-716",NA,"E2.2",NA
"2460","BD56-717",NA,"E3",NA
"2461","BD56-718",NA,"E2.2",NA
"2462","BD56-719",NA,"E1",NA
"2463","BD56-720",NA,"E3",NA
"2464","BD56-722",NA,"E2.2",NA
"2465","BD56-723",NA,"E2.2",NA
"2466","BD56-724",NA,"E3",NA
"2467","BD56-725",NA,"E2.2",NA
"2468","BD56-726",NA,"E3",NA
"2469","BD56-727",NA,"E2.2",NA
"2470","BD56-728",NA,"E3",NA
"2471","BD56-729",NA,"D1",NA
"2472","BD56-730",NA,"E3",NA
"2473","BD56-731",NA,"E2.2",NA
"2474","BD56-732",NA,"E2.2",NA
"2475","BD56-733",NA,"E3",NA
"2476","BD56-734","class 4",NA,NA
"2477","BD56-739",NA,"D2",NA
"2478","BD56-749","class 4",NA,NA
"2479","BD56-756","class 3",NA,NA
"2480","BD56-761","class 1",NA,NA
"2481","BD56-762","class 4",NA,NA
"2482","BD56-767","class 1",NA,NA
"2483","BD56-776","class 1",NA,NA
"2484","BD56-780","class 1",NA,NA
"2485","BD56-781","class 1",NA,NA
"2486","BD56-785","class 1",NA,NA
"2487","BD56-786","class 4",NA,NA
"2488","BD56-788","class 1",NA,NA
"2489","BD56-789","class 1",NA,NA
"2490","BD56-794","class 3",NA,NA
"2491","BD56-797","class 1",NA,NA
"2492","BD56-798","class 4",NA,NA
"2493","BD56-799","class 4",NA,NA
"2494","BD56-800","class 3",NA,NA
"2495","BD56-802","class 3",NA,NA
"2496","BD56-804","class 1",NA,NA
"2497","BD56-807","class 4",NA,NA
"2498","BD56-811","class 4",NA,NA
"2499","BD56-814","class 1",NA,NA
"2500","BD56-816","class 4",NA,NA
"2501","BD56-817","class 1",NA,NA
"2502","BD56-818","class 4",NA,NA
"2503","BD56-819","class 1",NA,NA
"2504","BD56-822","class 3",NA,NA
"2505","BD56-823","class 1",NA,NA
"2506","BD56-824","class 1",NA,NA
"2507","BD56-825","class 1",NA,NA
"2508","BD56-826","class 1",NA,NA
"2509","BD56-827","class 3",NA,NA
"2510","BD56-828","class 4",NA,NA
"2511","BD56-829","class 1",NA,NA
"2512","BD56-831","class 1",NA,NA
"2513","BD56-832","class 1",NA,NA
"2514","BD56-833","class 4",NA,NA
"2515","BD56-835","class 1",NA,NA
"2516","BD56-836","class 3",NA,NA
"2517","BD56-838","class 4",NA,NA
"2518","BD56-839","class 3",NA,NA
"2519","BD56-841","class 1",NA,NA
"2520","BD56-843","class 4",NA,NA
"2521","BD56-848","class 4",NA,NA
"2522","BD56-850","class 1",NA,NA
"2523","BD56-854","class 3",NA,NA
"2524","BD56-858","class 1",NA,NA
"2525","BD56-860","class 4",NA,NA
"2526","BD56-862","class 1",NA,NA
"2527","BD56-864","class 4",NA,NA
"2528","BD56-865","class 1",NA,NA
"2529","BD56-866","class 1",NA,NA
"2530","BD56-867","class 1",NA,NA
"2531","BD56-871","class 3",NA,NA
"2532","BD56-872","class 4",NA,NA
"2533","BD56-874","class 4",NA,NA
"2534","BD56-877","class 1",NA,NA
"2535","BD56-879","class 1",NA,NA
"2536","BD56-880","class 4",NA,NA
"2537","BD56-882","class 1",NA,NA
"2538","BD56-883","class 4",NA,NA
"2539","BD56-887","class 1","B",0.0021
"2540","BD56-888","class 3",NA,NA
"2541","BD56-890","class 1",NA,NA
"2542","BD56-894","class 4",NA,NA
"2543","BD56-900",NA,"E2.1",NA
"2544","BD56-901",NA,"E3",NA
"2545","BD56-902",NA,"F2",NA
"2546","BD56-903",NA,"E2.2",NA
"2547","BD56-904",NA,"E2.2",NA
"2548","BD56-905",NA,"E3",NA
"2549","BD56-906",NA,"E2.2",NA
"2550","BD56-907",NA,"E2.1",NA
"2551","BD56-908",NA,"E2.1",NA
"2552","BD56-910",NA,"E2.1",NA
"2553","BD56-911",NA,"E2.2",NA
"2554","BD56-912",NA,"E3",NA
"2555","BD56-913",NA,"E2.2",NA
"2556","BD56-914",NA,"E3",NA
"2557","BD56-915",NA,"E2.1",NA
"2558","BD56-916",NA,"F1",NA
"2559","BD56-917",NA,"C",NA
"2560","BD56-918",NA,"E2.2",NA
"2561","BD56-919",NA,"E3",NA
"2562","BD56-920",NA,"B",NA
"2563","BD56-921",NA,"F1",NA
"2564","BD56-923",NA,"E3",NA
"2565","BD56-924",NA,"F1",NA
"2566","BD56-925",NA,"E2.2",NA
"2567","BD56-926",NA,"E2.1",NA
"2568","BD56-927",NA,"F2",NA
"2569","BD56-928",NA,"A",NA
"2570","BD56-929",NA,"E2.2",NA
"2571","BD56-930",NA,"E2.2",NA
"2572","BD56-931",NA,"E2.2",NA
"2573","BD56-933",NA,"E3",NA
"2574","BD56-934",NA,"E2.1",NA
"2575","BD56-935",NA,"A",NA
"2576","BD56-936",NA,"E2.2",NA
"2577","BD56-937",NA,"D1",NA
"2578","BD56-938",NA,"E2.1",NA
"2579","BD56-939",NA,"E3",NA
"2580","BD56-940",NA,"E2.2",NA
"2581","BD56-941",NA,"F1",NA
"2582","BD56-942",NA,"C",NA
"2583","BD56-943",NA,"E2.1",NA
"2584","BD56-944",NA,"E2.2",NA
"2585","BD56-945",NA,"E3",NA
"2586","BD56-946",NA,"E2.2",NA
"2587","BD56-948",NA,"E2.2",NA
"2588","BD56-949",NA,"E2.1",NA
"2589","BD56-950",NA,"F1",NA
"2590","BD56-951",NA,"E2.2",NA
"2591","BD56-952",NA,"E2.1",NA
"2592","BD56-953",NA,"A",NA
"2593","BD56-954",NA,"E2.2",NA
"2594","BD56-955",NA,"E2.2",NA
"2595","BD56-956",NA,"E3",NA
"2596","BD56-957",NA,"E3",NA
"2597","BD56-959",NA,"E2.2",NA
"2598","BD56-960",NA,"D1",NA
"2599","BD56-961",NA,"C",NA
"2600","BD56-962",NA,"E3",NA
"2601","BD56-963",NA,"E2.1",NA
"2602","BD56-964",NA,"E2.1",NA
"2603","BD56-965",NA,"B",NA
"2604","BD56-967",NA,"E3",NA
"2605","BD56-968",NA,"E2.2",NA
"2606","BD56-969",NA,"A",NA
"2607","BD56-970",NA,"A",NA
"2608","BD56-971",NA,"E3",NA
"2609","BD56-972",NA,"E2.2",NA
"2610","BD56-973",NA,"E2.2",NA
"2611","BD56-974",NA,"E2.2",NA
"2612","BD56-975",NA,"E2.2",NA
"2613","BD56-976",NA,"E2.2",NA
"2614","BD56-977",NA,"F2",NA
"2615","BD56-978",NA,"A",NA
"2616","BD57-001",NA,"A",NA
"2617","BD57-002",NA,"D2",NA
"2618","BD57-003",NA,"A",NA
"2619","BD57-004",NA,"F2",NA
"2620","BD57-005",NA,"C",NA
"2621","BD57-006",NA,"B",NA
"2622","BD57-008",NA,"F2",NA
"2623","BD57-009",NA,"A",NA
"2624","BD57-010",NA,"C",NA
"2625","BD57-0101",NA,"E2.2",NA
"2626","BD57-0102",NA,"E2.2",NA
"2627","BD57-0103",NA,"B",NA
"2628","BD57-0104",NA,"E2.2",NA
"2629","BD57-0105",NA,"E2.2",NA
"2630","BD57-0107",NA,"E2.2",NA
"2631","BD57-0109",NA,"E3",NA
"2632","BD57-0110",NA,"E3",NA
"2633","BD57-0111",NA,"F1",NA
"2634","BD57-0113",NA,"F2",NA
"2635","BD57-0115",NA,"E3",NA
"2636","BD57-0117",NA,"D1",NA
"2637","BD57-0118",NA,"E2.2",NA
"2638","BD57-0119",NA,"C",NA
"2639","BD57-012",NA,"B",NA
"2640","BD57-0120",NA,"F1",NA
"2641","BD57-0121",NA,"E3",NA
"2642","BD57-0123",NA,"F1",NA
"2643","BD57-0124",NA,"E2.2",NA
"2644","BD57-0125",NA,"F1",NA
"2645","BD57-0126",NA,"E2.2",NA
"2646","BD57-0127",NA,"F1",NA
"2647","BD57-0128",NA,"E2.2",NA
"2648","BD57-0129",NA,"A",NA
"2649","BD57-013",NA,"A",NA
"2650","BD57-0131",NA,"E2.2",NA
"2651","BD57-0132",NA,"E3",NA
"2652","BD57-0133",NA,"E2.2",NA
"2653","BD57-0134",NA,"A",NA
"2654","BD57-0135",NA,"E2.2",NA
"2655","BD57-0136",NA,"E2.2",NA
"2656","BD57-0137",NA,"F2",NA
"2657","BD57-0138",NA,"E2.2",NA
"2658","BD57-0139",NA,"E2.2",NA
"2659","BD57-014",NA,"F2",NA
"2660","BD57-0140",NA,"F1",NA
"2661","BD57-0141",NA,"A",NA
"2662","BD57-0142",NA,"E2.2",NA
"2663","BD57-0143",NA,"F2",NA
"2664","BD57-0145",NA,"D2",NA
"2665","BD57-0146",NA,"E3",NA
"2666","BD57-0148",NA,"E2.2",NA
"2667","BD57-015",NA,"D1",NA
"2668","BD57-0150",NA,"E2.2",NA
"2669","BD57-0151",NA,"F1",NA
"2670","BD57-0153",NA,"F2",NA
"2671","BD57-0154",NA,"F1",NA
"2672","BD57-0155",NA,"E2.2",NA
"2673","BD57-0156",NA,"F1",NA
"2674","BD57-0157",NA,"E2.2",NA
"2675","BD57-0159",NA,"F1",NA
"2676","BD57-016",NA,"F2",NA
"2677","BD57-0160",NA,"E2.2",NA
"2678","BD57-0161",NA,"E2.1",NA
"2679","BD57-0162",NA,"E3",NA
"2680","BD57-0163",NA,"F1",NA
"2681","BD57-0164",NA,"E2.2",NA
"2682","BD57-0167",NA,"E3",NA
"2683","BD57-0168",NA,"C",NA
"2684","BD57-0169",NA,"D1",NA
"2685","BD57-017",NA,"C",NA
